products,device type,model name,color,selling price,original price,display,rating (Out of 5),strap material,average battery life (in days)
xiaomi,fitnessband,smart band 5,black,"2,499","2,999",amoled display,4.1,thermoplastic polyurethane,14
xiaomi,fitnessband,smart band 4,black,"2,099","2,499",amoled display,4.2,thermoplastic polyurethane,14
xiaomi,fitnessband,hmsh01ge,black,"1,722","2,099",lcd display,3.5,leather,14
xiaomi,fitnessband,smart band 5,black,"2,469","2,999",amoled display,4.1,thermoplastic polyurethane,14
xiaomi,fitnessband,band 3,black,"1,799","2,199",oled display,4.3,plastic,7
xiaomi,fitnessband,band - hrx edition,black,"1,299","1,799",oled display,4.2,plastic,20
xiaomi,fitnessband,band 2,black,"2,499","2,499",oled display,4.3,plastic,7
xiaomi,smartwatch,revolve,black,"12,349","15,999",amoled display,4.4,silicone,14
xiaomi,smartwatch,revolveactive,black,"12,999","15,999",amoled display,4.4,silicone,14
xiaomi,fitnessband,smart band 3i,black,"1,270","1,599",oled display,4.2,thermoplastic polyurethane,7
oneplus,fitnessband,steven harrington edition band,blue,"3,299","3,999",amoled display,4.3,thermoplastic polyurethane,7
oneplus,fitnessband,band,dual color,"2,499","2,799",amoled display,4.2,thermoplastic polyurethane,7
fitbit,smartwatch,versa 2,"grey, pink, black","11,999","14,999",amoled display,4.3,silicone,7
fitbit,smartwatch,sense,"black, pink, beige","21,499","22,999",amoled display,4.2,elastomer,7
fitbit,smartwatch,versa 3,"black, blue, pink","17,999","18,999",amoled display,4.3,elastomer,7
fitbit,fitnessband,charge 4,"storm blue, black, rosewood","9,999","9,999",pmoled display,4.2,elastomer,7
fitbit,fitnessband,inspire,maroon ,"7,990","7,999",led display,4.2,silicone,5
fitbit,fitnessband,inspire 2,"black, desert rose, lunar white","6,999","7,999",pmoled display,4.4,thermoplastic polyurethane,10
fitbit,fitnessband,lunar,white ,"10,899","10,999",amoled display,4.7,silicone,7
fitbit,fitnessband,charge 4,granite reflective ,"10,999","11,999",pmoled display,4.2,elastomer,7
fitbit,fitnessband,fb413lvlv,lilac ,"8,807","38,500",amoled display,4.1,silicone,5
fitbit,fitnessband,flex small,"violet, black, grey, teal, blue, red","8,490","8,490",oled display,3.8,rubber,5
fitbit,fitnessband,inspire hr,black ,"5,599","8,999",led display,4.3,silicone,5
